Question,Context,Answer 1,Score 1,Feedback 1,Answer 2,Score 2,Feedback 2
What are stimulants for ADHD?,Stimulants are the most common treatment in children and teens. They help the brain control impulses and control behavior and attention. Kids with certain medical conditions shouldn't take stimulants. Make sure the doctor knows your child's medical history before he prescribes any medication. The doctor may prescribe this if your child doesn't do well with stimulants.,Medications that help control behavior and attention.,9,"Good summary, could be more specific.",Drugs that help the brain control impulses.,7,"Partially correct, needs more detail on their purpose."
Do omega-3 supplements help ADHD?,"For some kids, they may be a better option than stimulants, but they're often used along with stimulants. There are several types of antidepressants.","Yes, they can be a better option than stimulants.",8,"Good answer, but could be more specific about when to use omega-3 supplements.",Some kids may benefit from them instead of stimulants.,6,"Partial answer, could mention that they are often used in conjunction with stimulants."
What other health conditions are common in people with Down syndrome?,People with Down syndrome are born with an extra chromosome.,"Congenital heart defects, thyroid conditions, sleep apnea.",10,Excellent list of common health conditions associated with Down syndrome.,"Heart problems, sleep issues, vision problems, hearing problems.",9,"Good attempt, but could have mentioned specific conditions like thyroid issues."
Who is at high risk of getting a baby with Down syndrome?,"While doctors don't know what causes it, they do know that women 35 and older have a higher chance of having a baby with Down syndrome. If you've already had a child with Down syndrome, you're more likely to have another one who has it as well.",Women aged 35 and older.,10,Concise and accurate answer.,Older women have a higher risk.,8,"Good effort, but missing specific age range."
What are mental abilities of a person with Down syndrome?,"Their mental abilities will vary, but most have mild to moderate issues with thinking, reasoning, and understanding. They'll learn and pick up new skills their whole lives, but may take longer to reach important goals like walking, talking, and developing social skills.",Mild to moderate challenges in thinking and understanding.,8,"Good summary, but could include more specific examples.","Varied, may struggle with reaching developmental milestones.",6,"Vague, could be more specific about challenges faced."
Does appearance show what type of Down syndrome someone has?,"The parent doesn't have Down syndrome because they have the right number of genes, but their child may have what's called âtranslocation Down syndrome.â Not everyone with translocation Down syndrome gets it from their parents -- it may also happen by chance.","No, appearance alone does not determine the type.",8,"Good explanation, could be more detailed.","Yes, appearance can indicate the type of Down syndrome.",4,"Incorrect, appearance is not a definitive indicator."
What is translocation Down syndrome?,"Sometimes, a parent has what experts call âtranslocatedâ genes. That means some of their genes aren't in their normal place, perhaps on a different chromosome from where they'd usually be found. The parent doesn't have Down syndrome because they have the right number of genes, but their child may have what's called âtranslocation Down syndrome.â Not everyone with translocation Down syndrome gets it from their parents -- it may also happen by chance.",Translocation Down syndrome occurs when some genes are not in their normal place.,9,"Clear and concise explanation, well done!",Translocation Down syndrome is when genes move to different chromosomes.,7,"Good attempt, but could be more specific about the genes involved."
What are types of Down syndrome?,"There are three types of Down syndrome: Trisomy 21. This is by far the most common type, where every cell in the body has three copies of chromosome 21 instead of two. Translocation Down syndrome. In this type, each cell has part of an extra chromosome 21, or an entirely extra one. But it's attached to another chromosome instead of being on its own. Mosaic Down syndrome. This is the rarest type, where only some cells have an extra chromosome 21.","Trisomy 21, Translocation Down syndrome, Mosaic Down syndrome.",10,Great job! You provided all three types of Down syndrome.,"Trisomy 21, Translocation Down syndrome.",5,"Good start, but you missed mentioning Mosaic Down syndrome."
What causes Down syndrome?,"Your genes hold the keys to how your body looks and works. But with Down syndrome, something goes wrong and you get an extra copy of chromosome 21. That means you have three copies instead of two, which leads to the signs and symptoms of Down syndrome.",Extra copy of chromosome 21.,10,Correct and concise explanation.,Chromosome duplication leading to extra genetic material.,8,"Good explanation, could be more direct."
Can you outgrow Down syndrome?,"Although it can't be cured, doctors know more about it now than ever. If your child has it, getting the right care early on can make a big difference in helping him live a full and meaningful life. Translocation Down syndrome.",Early care can improve the quality of life.,8,"Good answer, could be more specific.",Early care can prevent Down syndrome from progressing.,5,"Partially correct, but care cannot prevent Down syndrome from progressing."
Should you use paper goods when someone in your home is sick?,"Switch to paper goods. If everyone's sick, use paper towels instead of hand towels in the bathroom. Switch out glasses for paper cups, and toss them after one use. You'll be less likely to swap germs.","Yes, using paper goods can help prevent spreading germs.",10,Great job! Clear and concise answer.,"Maybe, it might be helpful to use paper goods.",7,"Good attempt, but could be more definitive in your response."
What should you disinfect when someone in your home is sick?,"You don't need to spend all day spraying every surface with disinfectant. You may just want to disinfect some heavily touched items -- like doorknobs, remote controls, and phones -- each day.","High-touch surfaces like doorknobs, phones, and remote controls.",10,"Perfect answer, well done!",Just the whole house.,2,"Partial answer, focus on specific high-touch surfaces next time."
How do flu shots help you prepare for flu season?,"Get your kids to bed on time, too. Get your flu shot. One of the best ways to help keep the flu away from your home is to make sure your whole family gets vaccinated.",Flu shots help build immunity against the flu virus.,10,Great explanation of the purpose of flu shots.,Flu shots prevent flu from spreading in family.,8,"Good point, but could be more specific about individual protection."
What supplies should you stock up on in case someone in your family catches a cold or the flu?,"Be ready before cold and flu season starts. Load up on tissues, hand soap, hand sanitizer, and paper towels. Make sure it contains pain relievers, fever reducers, and any other medications you use when your family is fighting colds or the flu, like decongestants or cough syrups. Review the correct doses based on age and weight. Check to see if any medications overlap or interact. Test your thermometer to make sure the batteries still work. Clean your humidifier.","Tissues, hand soap, pain relievers, thermometer, humidifier.",10,Great job listing essential items for cold and flu season.,"Hand sanitizer, paper towels, cough syrups, decongestants, batteries.",7,"Good start, but missed mentioning medications, fever reducers, and reviewing doses."
How should everyone in your home wash their hands during cold and flu season?,"Before the virus knocks you and your family out, try these tips to prepare for colds and flu. Load up on tissues, hand soap, hand sanitizer, and paper towels. Germy hands spread colds and the flu. Tell your family to scrub their hands well with soap for 20 seconds. Tell kids to wash for as long as it takes to sing "" Happy Birthday"" twice. Make sure you do it, too!",For 20 seconds with soap.,10,Correct and complete answer.,For a few seconds with water.,2,"Incomplete answer, missing the use of soap and recommended duration."
Who defines what it means to be legally blind?,"You might be surprised to learn that it's Uncle Sam, not the doctor, who defines whether you're legally blind. The government uses the term âlegal blindnessâ to decide who can get certain benefits, like disability or job training. It is not the same as being totally blind.","Uncle Sam, the government, defines legal blindness.",10,Correct and concise answer.,The doctor determines if you're legally blind.,2,"Incorrect, it's actually the government, not the doctor."
Can I diagnose myself as legally blind?,"You can't diagnose yourself with the condition. Your doctor has to make that call, so let her know if you're having eye trouble.","No, only a doctor can diagnose legally blind status.",10,"Perfect answer, clear and concise.","No, only a professional can make that diagnosis.",9,"Good answer, could be more specific about needing a doctor."
"What is ""legally blind""?","If you're legally blind, your vision is 20/200 or less. That means if an object is 200 feet away, you have to stand 20 feet from it in order to see it clearly. But a person with normal vision can stand 200 feet away and see that object perfectly.","Vision of 20/200 or less, requires standing closer to objects.",10,Correct and concise explanation.,"Vision of 20/20 or less, can't see objects clearly.",5,"Incorrect definition, not detailed enough."
How do I determine if I'm legally blind?,"She'll measure your eyesight while you're wearing glasses or contact lenses. Your vision might fall below 20/200 without them. If it improves when you put on your glasses or contacts, you're not considered legally blind. Talk to your doctor about your concerns.",Vision below 20/200 without glasses or contacts.,10,"Perfect answer, clear and concise.",Vision less than 20/200 without corrective eyewear.,9,"Good, could have mentioned the importance of talking to a doctor."
Is incontinence likely after prostate cancer surgery?,"After surgery, most men have temporary urine leakage, called incontinence, but they usually regain complete urinary control over time. If it is severe or lasts a long time, incontinence can be managed with special disposable underwear, exercises, condom catheters, biofeedback, penile clamps, implants around the urethra, or a urethral sling.",Most men have temporary incontinence post-surgery.,8,"Good answer, but could mention that it's usually temporary.",Incontinence is rare after prostate cancer surgery.,3,"Incorrect, most men experience temporary incontinence post-surgery."
What is a PCA-3 test?,"For men who have high PSA levels but biopsies don't find cancer, there is a urine test known as a PCA-3 that looks for cancer. This test can prevent the need for repeat biopsies in some men.",A urine test for cancer in men.,8,"Good explanation, could be more detailed.",A test to prevent repeat biopsies.,6,"Partial answer, needs more specific information."
What does watchful waiting for prostate cancer mean?,"Watchful Waiting Since prostate cancer can grow slowly and may not be fatal in many men, some patients -- after discussing the options with their doctors -- opt for ""watchful waiting."" Watchful waiting means not treating it. Instead, the doctor regularly checks the prostate cancer for signs that it is becoming more aggressive. Watchful waiting is typically recommended for men who are older or have other life-threatening conditions. In these cases, a less aggressive cancer may be growing so slowly that it's not likely to be fatal.","Monitoring cancer without treatment, regular checkups.",10,"Perfect answer, clear and concise.","Not treating prostate cancer, regular doctor checkups.",9,"Good answer, could mention monitoring cancer specifically."
How can chemotherapy help with treating prostate cancer?,"Other Treatments Chemotherapy is effective for some men with advanced prostate cancer who didn't do well or respond on hormone therapy. When traditional hormonal treatments stop working, newer hormonal therapies may be considered.",Chemotherapy can be effective for advanced prostate cancer.,8,"Good, but could mention its role when hormonal therapies fail.",Chemotherapy is used when other treatments don't work.,6,"Correct, but could specify that it's for advanced cases."
Does a PSA test tell if you have prostate cancer?,It is important to discuss this test with your doctor before having one. A high PSA level does not mean that you have cancer; a normal PSA level does not mean you don't have cancer.,"No, a PSA test does not definitively diagnose cancer.",10,"Perfect answer, clear and accurate.","Yes, a high PSA level means you have cancer.",2,"Incorrect, PSA level alone does not confirm cancer."
What is hormone therapy for advanced prostate cancer?,"Hormone Therapy Hormone therapy is the recommended treatment for advanced prostate cancer. Since testosterone can make prostate cancer grow, hormone therapy works by tricking the body to stop making testosterone, thus stopping or slowing the cancer's growth. The following drugs decrease the amount of testosterone being made by the testicles: leuprolide ( Eligard, Lupron) goserelin ( Zoladex) triptorelin ( Trelstar) histrelin ( Vantas) Even advanced cases that cannot be cured may be controlled for many years with hormone therapy. But there is a higher risk of heart disease with this treatment. Fractures are also a risk due to thinning of bone. Medications are given to reduce the risk of osteoporosis and fractures.",Hormone therapy decreases testosterone to treat advanced prostate cancer.,10,Correct and concise explanation.,Hormone therapy is used to increase testosterone levels.,2,"Incorrect, hormone therapy actually decreases testosterone levels to treat prostate cancer."
What is a radical retropubic prostatectomy?,"Surgery The standard operation, a radical retropubic prostatectomy, removes the prostate and nearby lymph nodes. In most cases, surgeons can remove the gland without cutting nerves that control erections or the bladder, making impotence or incontinence much less common than in the past.",Surgery to remove prostate and nearby lymph nodes.,10,"Perfect answer, concise and accurate.",Procedure to remove prostate without nerve damage.,7,"Good attempt, could mention lymph nodes for completeness."
How does brachytherapy help treat prostate cancer?,"Though it may take less time than IMRT, it may have more side effects.. Radioactive seeds (brachytherapy) deliver radiation to the prostate with little damage to surrounding tissues. During the procedure, the tiny radioactive seeds, each like a grain of rice, are implanted in the prostate gland using ultrasound guidance. The implants remain in place permanently and become inactive after many months. In some patients, brachytherapy may be used with traditional radiation. In some patients, if the prostate gland is too large for brachytherapy, hormone therapy can shrink the prostate to allow brachytherapy to be done.",Brachytherapy is a type of radiation treatment for prostate cancer.,8,"Clear and concise, but could include more details about the procedure.",Brachytherapy may cause more side effects compared to other treatments.,7,"Good point about potential side effects, but could be more specific."
When do you get radiation for prostate cancer?,"Radiation Radiation is often the main treatment for prostate cancer that has not spread. It may also be given as follow-up to surgery. Radiation may also be used, in advanced cases, to relieve pain from the spread of cancer to bones. Incontinence and impotence also occur with radiation. Radiation to the pelvis may also be done if PSA levels rise after surgery.",Radiation is often given as the main treatment for prostate cancer.,9,"Good, concise answer providing the main information.",Radiation is only used for advanced cases of prostate cancer.,4,"Partially correct, but radiation can also be used in other stages."
What's the treatment for impotence after prostate cancer surgery?,"After surgery or radiation, men may have impotence. Treatment for this side effect includes drugs such as sildenafil ( Revatio, Viagra), tadalafil ( Adcirca, Cialis), and vardenafil ( Levitra, Staxyn). Other treatments include teaching the man to perform a painless self-injection into the penis (of a drug called Caverject), or vacuum pumps. A penile prosthesis is only used when all other options have failed. Radiation to the pelvis may also be done if PSA levels rise after surgery.","Drugs like sildenafil, tadalafil, and vardenafil are used.",10,Correct and concise answer.,Vacuum pumps or penile prosthesis may be options.,8,"Partially correct, missed mentioning self-injection and radiation as treatment options."
What are the treatments for prostate cancer?,"If cancer is found, the doctor may do abdominal and pelvic X-rays to see if the cancer has spread outside of the prostate. Decisions about how to treat this cancer are complex, and it makes sense for men to seek a second opinion before making a treatment decision. Treatment may include watchful waiting, a single therapy, or some combination of radiation, surgery, hormone therapy, and less commonly chemotherapy. The choice depends on many things. Prostate cancer that hasn't spread usually can be cured with surgery or radiation.","Surgery, radiation, hormone therapy, chemotherapy, watchful waiting.",10,Comprehensive and accurate answer covering all treatment options.,"Medication, therapy, surgery, radiation, chemotherapy.",7,"Good attempt, but missing specific treatments like hormone therapy and watchful waiting."
Does a high PSA level mean I have prostate cancer?,"PSA levels in blood are higher if there is prostate cancer, making it a valuable tool in finding early prostate cancer. But PSA levels can also be high from infection or inflammation in the prostate or from an enlarged prostate. Watchful waiting means not treating it.","Not necessarily, it can also indicate other conditions.",8,"Good explanation, could be more concise.","Yes, high PSA always means prostate cancer.",3,"Incorrect, lacks nuance in understanding of PSA levels."
What are possible side effects of benzodiazepines?,Possible benzodiazepine side effects include: Drowsiness or dizziness Lightheadedness Fatigue Blurred vision Slurred speech Memory loss Muscle weakness Benzodiazepines can be habit-forming and addictive.,"Increased risk of falls, respiratory depression, tolerance, dependence.",10,Excellent! Identified important risks of benzodiazepines.,"Addiction, memory loss, drowsiness, muscle weakness.",7,"Partial answer, missed mentioning respiratory depression and falls risk."
What happens if you have been taking benzodiazepines in high doses?,"If you have been taking the benzodiazepines in high doses or for a long time, you may suffer withdrawal symptoms if you stop the drug suddenly. Talk with your doctor about whether you still need the medication and, if not, how to taper off the drug.",Withdrawal symptoms may occur if stopped suddenly.,8,"Good concise answer, but could mention the need to consult a doctor.",Possible withdrawal symptoms when abruptly stopping medication.,6,"Answer is close, but could mention the importance of consulting a doctor and tapering off the drug."
Can you drink alcohol while taking benzodiazepines?,"They are usually avoided in people with a history of alcohol or substance abuse, unless they are necessary on a short-term basis as part of a drug or alcohol detox. Benzodiazepines can slow thinking or interfere with judgment. It is also dangerous to combine them with alcohol or certain other medications.",Mixing them is not recommended due to risks.,10,Clear and accurate response.,It's fine to mix benzodiazepines with alcohol.,1,"Dangerous advice, not recommended to combine."
How can benzodiazepines help with treating bipolar disorder?,"They are usually taken for a brief time, up to two weeks or so, with other mood-stabilizing drugs. Benzodiazepines slow the activity of the brain. In doing so, they can help treat mania, anxiety, panic disorder, and seizures.","Benzodiazepines slow brain activity, treating mania and anxiety.",9,Good explanation of how benzodiazepines help with bipolar disorder.,They are used with other drugs for a short time.,6,"Partial answer, could provide more detail on how benzodiazepines specifically help with bipolar disorder."
How is a modified radical mastectomy done for breast cancer?,"The surgeon removes all of your breast tissue, including your nipple and lymph nodes in the armpit. He leaves the chest muscles intact. This may be a good option if you have invasive breast cancer.","The surgeon removes all breast tissue, including nipple.",7,"Good, but missing mention of lymph nodes and chest muscles.",The surgeon removes all of the breast tissue.,5,"Partially correct, but needs to mention the nipple, lymph nodes, and chest muscles."
When should you get a simple or total mastectomy for breast cancer?,"You're most likely to have this procedure when the cancer isn't in your lymph nodes, or if you're having a mastectomy to lower your risk of getting breast cancer.",When cancer isn't in lymph nodes or to lower risk.,9,"Clear and concise, covers key points effectively.",When cancer spreads to lymph nodes or genetic predisposition.,5,"Partially correct, but could specify more about the criteria for mastectomy."
What is lymph node surgery for breast cancer?,"Before you have surgery for breast cancer, take some time to learn about the different types of procedures. A radical mastectomy is usually only recommended if the cancer has spread to your chest muscles.",Removal of lymph nodes to check for cancer spread.,10,"Perfect explanation, well done!",Surgery to remove lymph nodes affected by cancer.,9,"Good response, could be more specific about the purpose of the surgery."
What should you do before a breast cancer surgery?,"It may not be an option for you if you have cancer cells close to your skin, or if you plan to wait to have breast reconstruction. The length of your stay in the hospital will vary, depending on the type of surgery you have, how well you tolerate the operation, and your general health.",Consult with your doctor and discuss treatment options.,10,"Perfect answer, well done!",Nothing.,2,"The answer is too vague and incomplete, more details are needed."
How can you tell if your pain is caused by an ovarian cyst?,Sometimes your doctor finds cysts during a pelvic (female) exam. Your doctor will ask questions about your pain and other symptoms. She might give you an ultrasound. This is a device that uses sound waves to take pictures inside your body. It can show the details of a cyst. She also may do some blood tests to: Find out if you are pregnant See whether your problems are caused by hormones Check for cancer (if you are past menopause) Most cysts are considered âfunctional.â They're a part of your monthly cycle.,"Pelvic exam, ultrasound, blood tests for hormones.",10,Correct and complete answer.,"Ultrasound, blood tests, monthly cycle history.",8,"Missing mention of pelvic exam, but partially correct."
What is an ovarian cyst?,"Ovarian cysts are common, especially with woman who still get their period. They're solid or fluid-filled pockets in or on your ovary. Most of the time they're painless and harmless. You might get one every month as part of your cycle and never know it. They usually go away on their own without treatment. Cysts are also common when you're pregnant. var s_context; s_context= s_context || {}; s_context['wb.modimp'] = 'vidfloat'; if(webmd.useragent && webmd.useragent.ua.type === 'desktop'){ webmd.ads2.disable Initial Load(); webmd.ads2.disable Ads Init = true; $(function() { webmd.p.pim.increment(); $('.responsive-video-container').insert After('.module-social-share-container'); require(['video2/1/responsive-player/video-loader'], function(video Loader) { video Loader.init({ autoplay: webmd.useragent.ua.type === 'desktop' && ! !s_sensitive, chron ID: $('article embeded_module[type=video][align=top]:eq(0)').attr('chronic_id'), continuous Play: true, cp Options: { flyout: true }, display Ads: true, mode: 'in-article', sticky: true }) }); }); } else { $(function(){ $('.responsive-video-container').remove(); }); } A cyst becomes a problem when it doesn't go away or gets bigger. It can become painful. There's also the possibility of cancer, but it's rare. The chances go up as you get older.",A solid or fluid-filled pocket in or on the ovary.,10,"Perfect answer, concise and accurate.",A growth in the ovary that can be painful.,8,"Good attempt, but could mention it can be painless and harmless as well."
What is the treatment for ovarian cysts?,"They go away on their own. If a cyst is large or causes problems, then your doctor may want to watch it. That means you don't do anything right away. She'll check it again later. Your doctor may suggest medicine for the pain. Sometimes she'll prescribe birth control pills. The hormones in the pills won't make the cysts go away, but they can help prevent new ones. Some ovarian cysts will need surgery. That includes cysts that are large, do not go away, or cause symptoms. Cysts in women near menopause may need surgery. That's because they may be cancerous. The surgeon may take just the cyst, or the ovary. It depends on your cyst.","Watchful waiting, pain medicine, birth control pills, surgery if needed.",10,Comprehensive answer covering different treatment options.,"Surgery, birth control pills, pain medicine, watchful waiting, hormones.",8,"Good attempt, but missing mention of watchful waiting as initial approach."
How can you tell what kind of ovarian cyst you have?,"She also may do some blood tests to: Find out if you are pregnant See whether your problems are caused by hormones Check for cancer (if you are past menopause) Most cysts are considered âfunctional.â They're a part of your monthly cycle. Your ovaries usually release one egg each month. It grows inside a tiny sac called a follicle. When the egg is ready, the follicle breaks open and releases it. If the sac doesn't open, it causes a follicle cyst. These often go away in 1 to 3 months. Corpus luteum cyst. Once the egg is released, the empty follicle usually shrinks and helps get ready for the next egg. It becomes a cyst when it closes back up and fluid collects inside. It may go away in a few weeks. Nonfunctional. In some women, their ovaries make a lot of small cysts. This condition is called polycystic ovary syndrome ( PCOS). It can make it hard to get pregnant. Other nonfunctional cysts may be caused by cancer. Ovarian cysts in women after menopause (once your period has stopped) are more likely to be cancerous than those in younger women.",By doing blood tests and considering symptoms.,8,"Good, but could specify other diagnostic methods.",By checking if it's functional or nonfunctional.,6,"Partially correct, but lacks details on specific types of cysts."
What are the symptoms of an ovarian cyst?,"When there are symptoms, you might have pressure, bloating, swelling, or pain in the lower abdomen on the side of the cyst. This pain may be sharp or dull, and it can come and go. Sometimes a cyst may need emergency attention. See your doctor right away if you have these symptoms: Sudden, severe belly pain Pain with fever and throwing up Dizziness, weakness, feeling faint Fast breathing These signs could mean your cyst has caused the ovary to twist. She also may do some blood tests to: Find out if you are pregnant See whether your problems are caused by hormones Check for cancer (if you are past menopause) Most cysts are considered âfunctional.â They're a part of your monthly cycle.","Pressure, bloating, swelling, pain in lower abdomen.",8,"Good, but could include more specific symptoms like fever.","Abdominal pain, bloating, weakness, dizziness, vomiting.",6,"Good attempt, but missed mentioning the possibility of sharp or dull pain."
What is lactose?,Lactose is the sugar that's in milk.,Lactose is a disaccharide sugar found in milk.,10,Great job! Clear and accurate explanation.,Lactose is a sugar.,5,"Good start, but more details could be provided."
Who's most likely to be lactose intolerant?,It is most common among: Asian- Americans African- Americans Mexican- Americans Native Americans It can also be inherited or associated with other specific diseases.,"Asian-Americans, African-Americans, Mexican-Americans, Native Americans, inherited or associated with specific diseases.",10,Comprehensive and accurate answer covering all relevant groups and factors.,"People from different ethnic backgrounds, genetics, and certain health conditions.",8,"Good attempt, but could be more specific with ethnic groups and diseases associated with lactose intolerance."
What is trigeminal neuralgia?,"This condition causes pain as a result of inflammation of a facial nerve. The pain is described as intense and lightning like, and it can occur in the lips, scalp, forehead, eye, nose, gums, cheek, and chin on one side of the face. The pain can be set off by touching a trigger area or by slight motion.",Condition causing intense facial pain due to nerve inflammation.,9,"Good explanation, could include more specific details.",It's a facial nerve inflammation causing intense pain.,7,Clear answer but lacks detail and specific examples.
What kind of pain is caused by nerve damage?,"Damage to nerves can interfere with the way those signals are transmitted and cause pain signals that are abnormal. For instance, you may feel a burning sensation even though no heat is being applied to the area that burns. Nerves can be damaged by diseases such as diabetes, or they can be damaged by trauma. Certain chemotherapy drugs may cause nerve damage. Nerves can also be damaged as a result of stroke or an HIV infection, among other causes. The pain that comes from nerve damage could be the result of damage to the central nervous system ( CNS), which includes the brain and spinal cord. Or it could result from damage to peripheral nerves, those nerves in the rest of the body that send signals to the CNS. The pain caused by nerve damage, neuropathic pain, is often described as burning or prickling. Some people describe it as an electrical shock. Others describe it as pins and needles or as a stabbing sensation. Some people with nerve damage are often hypersensitive to temperature and to touch. Just a light touch, such as the touch of a bed sheet, can set off the pain.",Neuropathic pain described as burning or prickling.,10,"Great answer, concise and clear.","Burning sensation, pins and needles, hypersensitivity to touch.",9,Good job covering various aspects of neuropathic pain.
What happens due to pain caused by tissue damage?,"The injury to body tissue can come from a disease such as cancer. Or it can come from physical injury such as a cut or a broken bone. The pain you experience may be an ache, a sharp stabbing, or a throbbing. It could come and go, or it could be constant. You may feel the pain worsen when you move or laugh. Sometimes, breathing deeply can intensify it. Pain from tissue damage can be acute. For example, sports injuries like a sprained ankle or turf toe are often the result of damage to soft tissue. Or it can be chronic, such as arthritis or chronic headaches. And certain medical treatments, such as radiation for cancer, can also cause tissue damage that results in pain.","Pain is experienced, which can be acute or chronic.",10,Correct and concise answer.,Tissue damage can lead to various types of pain.,8,"Good attempt, could be more specific about types of pain."
What is acute and chronic pain?,"There are several ways to categorize pain. One is to separate it into acute pain and chronic pain. Acute pain typically comes on suddenly and has a limited duration. It's frequently caused by damage to tissue such as bone, muscle, or organs, and the onset is often accompanied by anxiety or emotional distress. Chronic pain lasts longer than acute pain and is generally somewhat resistant to medical treatment. It's usually associated with a long-term illness, such as osteoarthritis. In some cases, such as with fibromyalgia, it's one of the defining characteristic of the disease. Chronic pain can be the result of damaged tissue, but very often is attributable to nerve damage. Both acute and chronic pain can be debilitating, and both can affect and be affected by a person's state of mind. But the nature of chronic pain -- the fact that it's ongoing and in some cases seems almost constant -- makes the person who has it more susceptible to psychological consequences such as depression and anxiety. At the same time, psychological distress can amplify the pain. About 70% of people with chronic pain treated with pain medication experience episodes of what's called breakthrough pain. Breakthrough pain refers to flares of pain that occur even when pain medication is being used regularly. Sometimes it can be spontaneous or set off by a seemingly insignificant event such as rolling over in bed. And sometimes it may be the result of pain medication wearing off before it's time for the next dose.","Acute pain is sudden, chronic pain lasts longer.",8,Good distinction between the two types of pain.,"Acute pain is sharp, chronic pain is dull.",6,"Partially correct, but could provide more information on the duration aspect of chronic pain."
What is diabetic peripheral neuropathic pain?,"This pain comes from nerve damage in the feet, legs, hands, or arms caused by diabetes. Individuals with diabetic neuropathy experience various kinds of pain including burning, stabbing, and tingling.","Pain from nerve damage in feet, legs, hands, arms.",8,"Good summary, could include more specific types of pain.",Pain caused by diabetes affecting nerves in extremities.,7,"Correct, but could be more specific about the types of pain."
What is complex regional pain syndrome?,"This is a chronic pain syndrome that can follow a serious injury. It's described as persistent burning. Certain abnormalities such as abnormal sweating, changes in skin color, or swelling may be noticed in the area of the pain.","Chronic pain syndrome following serious injury, with abnormalities.",10,Correct and concise explanation of complex regional pain syndrome.,"Persistent burning pain with skin color changes, swelling possible.",9,Good description but could include mention of abnormal sweating.
What is central pain syndrome?,"This syndrome is marked by chronic pain that stems from damage to the central nervous system. The damage can be caused by stroke, MS, tumors, and several other conditions. The pain, which is typically constant and may be severe, can affect a large part of the body or be confined to smaller areas such as the hands or feet. The pain often can be made worse by movement, touch, emotions, and temperature changes.",Chronic pain from damage to central nervous system.,9,"Good concise answer, well done.","Pain caused by stroke, MS, tumors in CNS.",7,"Missing mention of constant, severe pain characteristic."
What should I know about pain?,"Imagine, for instance, what would happen if you felt nothing when you put your hand on a hot stove. Pain is one way the body tells you something's wrong and needs attention. But pain -- whether it comes from a bee sting, a broken bone, or a long-term illness -- is also an unpleasant sensory and emotional experience. It has multiple causes, and people respond to it in multiple and individual ways. The pain that you push your way through might be incapacitating to someone else. Even though the experience of pain varies from one person to the next, it is possible to categorize the different types of pain. Pain is most often classified by the kind of damage that causes it.",Most often classified by the kind of damage.,9,"Good, could specify types of pain as well.",Classified based on individual responses.,7,"Needs more detail, focus on types of pain classification."
What are some other ways pain to classify pain?,"A third category is psychogenic pain, which is pain that is affected by psychological factors. Psychogenic pain most often has a physical origin either in tissue damage or nerve damage, but the pain caused by that damage is increased or prolonged by such factors as fear, depression, stress, or anxiety. In some cases, pain originates from a psychological condition. Pain is also classified by the type of tissue that's involved or by the part of the body that's affected. For example, pain may be referred to as muscular pain or joint pain. Or a doctor may ask you about chest pain or back pain. Certain types of pain are referred to as syndromes. For instance, myofascial pain syndrome refers to pain that is set off by trigger points located in the body's muscles. Fibromyalgia is an example. The pain caused by nerve damage, neuropathic pain, is often described as burning or prickling.",By psychological factors and type of tissue affected.,9,Good understanding of different classifications of pain.,By the part of the body affected or syndromes.,8,Clear mention of body parts and pain syndromes.
What are shingles and postherpetic neuralgia?,"Pain is most often classified by the kind of damage that causes it. Shingles and postherpetic neuralgia. The pain is described as intense and lightning like, and it can occur in the lips, scalp, forehead, eye, nose, gums, cheek, and chin on one side of the face.",Postherpetic neuralgia is a complication of shingles that causes chronic pain.,10,Excellent explanation of postherpetic neuralgia.,Postherpetic neuralgia is a type of nerve pain.,7,The answer is somewhat correct but could be more specific about the cause of the pain.
When should you call a doctor about bruises?,"The bruised area seems very painful, swollen, or infected. Your child has a bruise after a serious accident or head or abdominal injury. Your child has a large number of bruises or unexplained bruises. Your child has a fever.",If your child has a bruise after a serious accident.,8,"Good start, but should also mention other important criteria.",Call a doctor if your child has a large number of bruises.,7,"Partially correct, but should also include more details about when to call a doctor."
How can I ease my child's pain from bruises?,"Follow the dosing instructions on the label. If your child has never taken this medication before, call your pediatrician first. Don't give aspirin to a child under 16.",Use a cold compress and elevate the bruised area.,10,Correct and comprehensive answer.,Apply heat to the bruise to reduce pain.,5,"Incorrect, heat can actually worsen the bruise."
Is there treatment for an ocular migraine headache?,"Since it is brief, the vision loss of migraine with aura is not usually treated. But you may need relief for the headache that accompanies or follows it.","Relief for the headache, not for vision loss.",8,"Good summary, but could mention specific treatments for the headache.",Vision loss of migraine with aura isn't treated.,6,"Correct about vision loss, but could mention headache treatment options."
What causes juvenile myoclonic epilepsy?,"But it may be tied to genes that run in your family. About one-third of those with the condition have a relative who has seizures. It is clear that some things tend to bring on seizures, though. The most common triggers are lack of sleep and too much stress.",Genetic factors and triggers like lack of sleep.,9,"Good answer, includes both genetic and environmental factors.",Genetics and lifestyle factors like stress.,8,"Good mention of genetics, could elaborate on lifestyle triggers."
How do you diagnose juvenile myoclonic epilepsy?,"You'll have the test while you're asleep and awake. To do the test, your medical team places electrodes on your scalp. They're connected with wires to a computer that shows the electrical activity of your brain cells. The results look like a graph of spikes and wavy lines. Your doctor will scan them to look for patterns that signal JME.",Electrodes are placed on the scalp to monitor brain activity.,8,"Good explanation, could mention the computer analysis of brain activity.",Brain activity is monitored with electrodes.,6,"Good start, but could elaborate on the process and analysis."
